,sarcasm_label,emotion_label,sentiment_label,id,spectral_centroid,spectral_bandwidth,pitch,energy,loudness,mfccs_0,mfccs_1,mfccs_2,mfccs_3,mfccs_4,mfccs_5,mfccs_6,mfccs_7,mfccs_8,mfccs_9,mfccs_10,mfccs_11,mfccs_12
0,0,anger,0,1,3194.0611551900697,2498.073257786857,1724.7587890625,0.0001689450121894,0.00973745,-581.4388427734375,103.19503021240234,-34.15917205810547,-0.6966552734375,-8.942310333251953,-9.98560905456543,-6.722594738006592,-6.088647365570068,-12.38152027130127,-7.555904865264893,-1.5830944776535034,-0.9082651734352112,0.07647475600242615
1,0,anger,0,2,3207.4308271531536,2460.578686695224,1596.321533203125,0.0004811933918425,0.01774681,-519.671630859375,99.21368408203125,-31.404706954956055,30.882394790649414,-4.019679546356201,1.883116364479065,-17.866735458374023,-3.908888101577759,-3.7515182495117188,-10.702564239501953,4.395909786224365,-10.53669548034668,-3.9369490146636963
2,0,anger,0,3,3189.1657364823373,2348.431343255982,2021.3489990234373,0.0001648619237292,0.009493501,-604.3026733398438,90.88034057617188,-34.52025604248047,32.325927734375,5.849225044250488,-11.916833877563477,-12.0526762008667,-5.394704341888428,-2.7602670192718506,-19.729318618774414,-6.80148983001709,1.375306487083435,-4.763419151306152
3,0,anger,0,4,4078.493478875405,3491.3451313282594,1616.683837890625,0.0001805808139581,0.008689025,-593.0642700195312,92.73889923095703,-22.86328125,0.7631234526634216,-5.8455095291137695,-2.3305399417877197,-7.0075178146362305,-4.01129150390625,-3.34678053855896,-7.0347065925598145,-0.2510974407196045,0.27919477224349976,-0.9026728272438049
4,0,anger,0,5,3678.133007060202,2459.1922757915145,1724.6781005859375,0.0011072567405179,0.02461613,-523.6166381835938,77.15715789794922,-10.64750862121582,25.155961990356445,-0.18078818917274475,5.02746057510376,-7.410804748535156,-8.471724510192871,-2.567750930786133,-6.176375865936279,-2.0006844997406006,-5.672809600830078,-10.50929069519043
5,0,anger,0,6,2709.7858305151376,2648.454422457185,1870.395263671875,0.0002839630850492,0.012895289,-567.1749877929688,105.07672119140625,-40.51948547363281,37.48192596435547,18.05914306640625,6.791954040527344,5.524779319763184,-3.8128297328948975,-14.321099281311035,3.972026824951172,6.640620231628418,-15.062748908996582,-4.131800651550293
7,0,anger,0,8,3324.058362149941,2568.667122999268,2270.0673828125,0.0001974441986315,0.011037465,-559.69189453125,68.79371643066406,-30.107088088989258,26.058008193969727,-25.57126808166504,-2.8527183532714844,-10.65876293182373,-12.39635944366455,-4.4068756103515625,-16.884174346923828,-10.132650375366211,-3.488253593444824,-4.976715564727783
8,0,anger,0,9,3849.877505488523,3126.1519311993497,1869.94384765625,0.000144928939564,0.007848676,-616.235107421875,68.93260192871094,-19.223512649536133,28.420459747314453,0.9616978168487549,0.5123928785324097,-10.55528450012207,0.8062100410461426,-5.369518756866455,-2.0674188137054443,2.2010951042175293,-0.7018275856971741,-2.310302257537842
11,0,anger,0,12,2759.5976078692397,2439.458442569635,1628.2171630859375,0.0001543202506889,0.010594155,-603.4719848632812,105.79579162597656,-0.5745552182197571,34.45782470703125,2.0844500064849854,8.33859634399414,-0.44464606046676636,-10.576059341430664,-20.325654983520508,-3.99631667137146,-2.326218843460083,-19.400972366333008,-15.529718399047852
12,0,anger,0,13,3043.7114767608537,2569.674896723405,1530.5164794921875,8.490252039136723e-05,0.006833882,-620.50390625,109.54318237304688,-18.546255111694336,17.40794563293457,-0.35796648263931274,-2.3169198036193848,-7.656900405883789,-11.577556610107422,-15.289570808410645,-14.095576286315918,-10.575318336486816,-13.36064338684082,-9.88525676727295
